Comprimento,Largura,X0,Y0,Xe,Ye,Distancia,Precisao,R.P.N.,R.P.A.,R.P.N.-R.P.A.,Preciso,Acuracia,R.A.N.,R.A.A.,R.A.N.-R.A.A.,Acurado
340,417,208.5,85.0,155.369,291.951,213.662,0.1,4,5,-1,Norm,33,0,0,0,Norm
310,149,37.25,38.75,61.445,236.983,199.704,0.1,3,5,-2,Norm,68,1,1,0,Norm
180,84,10.5,22.5,22.875,161.234,139.285,0.001,6,8,-2,Norm,10,0,0,0,Norm
358,384,192.0,179.0,49.563,280.65,174.989,1,3,4,-1,Norm,38,0,0,0,Norm
2,265,132.5,0.25,92.322,0.14,40.178,0.001,2,7,-5,Norm,82,1,1,0,Norm
259,249,124.5,129.5,202.154,78.458,92.927,0.001,4,9,-5,Norm,24,0,0,0,Norm
46,275,137.5,23.0,47.466,27.029,90.124,0.1,4,5,-1,Norm,65,0,0,0,Norm
41,145,18.125,10.25,22.702,24.819,15.271,1,2,2,0,Igual,99,2,2,0,Igual
298,258,32.25,149.0,241.785,62.811,226.569,0.1,5,6,-1,Norm,41,1,1,0,Norm
267,348,87.0,66.75,66.498,13.533,57.03,0.001,4,4,0,Igual,24,0,0,0,Igual
444,316,79.0,111.0,58.072,91.226,28.792,0.001,3,7,-4,Norm,12,0,0,0,Norm
187,421,210.5,23.375,13.211,110.126,215.52,0.1,5,5,0,Igual,30,2,1,1,Arr
204,316,79.0,25.5,95.898,159.175,134.739,1,3,2,1,Arr,26,0,0,0,Igual
98,444,55.5,24.5,43.801,25.11,11.715,0.01,3,6,-3,Norm,81,0,0,0,Norm
269,202,50.5,134.5,129.815,265.672,153.287,1,4,3,1,Arr,98,3,2,1,Arr
261,24,6.0,32.625,4.039,164.737,132.127,0.01,4,6,-2,Norm,42,0,0,0,Norm
169,402,201.0,21.125,320.605,59.404,125.581,0.01,4,6,-2,Norm,46,0,0,0,Norm
419,58,14.5,209.5,26.187,362.16,153.107,0.01,4,7,-3,Norm,94,1,2,-1,Norm
302,267,33.375,151.0,193.088,75.151,176.809,0.01,5,8,-3,Norm,87,2,2,0,Norm
228,162,81.0,57.0,16.043,223.165,178.41,0.001,6,12,-6,Norm,45,1,1,0,Norm
212,494,123.5,26.5,2.721,100.964,141.889,0.1,4,5,-1,Norm,38,1,1,0,Norm
217,139,34.75,108.5,83.26,91.578,51.377,0.1,3,3,0,Igual,26,0,0,0,Igual
93,273,68.25,23.25,223.505,81.928,165.974,0.1,4,7,-3,Norm,47,1,1,0,Norm
53,189,23.625,6.625,97.944,39.648,81.325,0.001,5,6,-1,Norm,39,1,1,0,Norm
422,279,69.75,211.0,241.328,0.571,271.513,1,6,5,1,Arr,76,3,2,1,Arr
209,70,35.0,104.5,26.527,133.745,30.448,0.01,3,5,-2,Norm,52,0,0,0,Norm
243,221,55.25,60.75,203.617,225.094,221.408,0.001,6,16,-10,Norm,89,2,3,-1,Norm
80,338,169.0,10.0,84.892,68.972,102.722,0.001,5,7,-2,Norm,13,0,0,0,Norm
349,4,2.0,174.5,3.82,145.031,29.525,0.001,3,5,-2,Norm,7,0,0,0,Norm
65,452,226.0,32.5,212.159,15.168,22.18,0.001,3,7,-4,Norm,90,0,0,0,Norm
322,334,41.75,80.5,102.135,36.552,74.685,0.001,4,7,-3,Norm,68,1,1,0,Norm
421,439,109.75,105.25,46.298,351.941,254.721,0.1,4,4,0,Igual,66,1,1,0,Igual
113,193,24.125,56.5,38.554,43.811,19.215,0.01,3,6,-3,Norm,93,1,1,0,Norm
281,151,75.5,70.25,36.193,32.624,54.413,0.1,3,5,-2,Norm,44,1,1,0,Norm
397,118,29.5,49.625,102.344,225.761,190.605,0.01,4,7,-3,Norm,13,0,0,0,Norm
